Doc_ID,Corpus 1,Corpus 2,Corpus 3,Corpus 4
1,1,1,1,1
2,4,2,4,4
3,7,5,6,6
4,10,7,8,7
5,14,8,11,8
6,16,9,13,11
7,19,10,15,13
8,22,11,19,14
9,24,12,22,16
10,26,14,24,19
11,28,15,28,20
12,29,18,29,23
13,33,20,30,26
14,36,21,34,28
15,38,22,37,30
16,42,23,40,32
17,46,25,41,35
18,49,27,43,37
19,52,28,46,39
20,56,30,47,42
21,59,32,49,44
22,63,33,52,46
23,67,35,53,49
24,71,37,55,50
25,73,38,58,53
26,75,40,60,56
27,77,41,64,57
28,80,43,66,59
29,83,44,70,61
30,86,45,73,63
31,87,48,75,65
32,90,49,79,67
33,91,52,80,70
34,92,55,82,72
35,95,56,85,73
36,98,58,87,74
37,100,60,88,78
38,104,62,89,80
39,105,65,90,84
40,107,67,91,87
41,108,68,94,90
42,112,70,95,93
43,114,71,98,96
44,116,72,102,97
45,119,73,105,98
46,121,74,108,100
47,125,75,111,102
48,127,77,112,106
49,130,78,116,108
50,132,79,119,110
51,136,80,123,111
52,138,82,124,114
53,141,83,128,116
54,144,85,129,120
55,147,86,133,121
56,150,87,136,122
57,153,88,139,124
58,156,89,142,125
59,160,90,146,126
60,164,92,147,129
61,167,93,151,130
62,170,94,155,132
63,173,96,156,136
64,176,97,160,138
65,179,98,164,140
66,183,100,166,141
67,187,102,168,142
68,191,103,171,143
69,192,106,172,147
70,195,107,176,149
71,197,108,179,151
72,199,110,180,154
73,201,112,182,156
74,204,113,186,158
75,208,115,188,160
76,212,116,192,161
77,215,118,193,165
78,218,119,197,167
79,219,122,198,170
80,222,123,202,172
81,223,126,204,174
82,226,127,207,176
83,227,130,209,178
84,228,133,210,181
85,229,136,212,183
86,233,138,213,186
87,236,140,214,189
88,237,143,216,192
89,239,145,218,195
90,243,147,220,197
91,246,148,224,199
92,249,150,225,203
93,252,151,228,204
94,255,153,230,206
95,256,156,231,209
96,260,158,232,212
97,261,161,234,214
98,264,163,235,217
99,266,164,238,220
100,268,165,242,221
101,268,165,242,221
